id,hotel_name,hotel_rating,hotel_experience,amenities,address,country,locality,location,price,
9067,Kent Motel,3.5,Very good,"['Pets Allowed ( Dog / Pet Friendly )', 'Non-smoking hotel', 'Air conditioning', 'Laundry Service', 'Wheelchair Access', 'Refrigerator in room', 'Family Rooms', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Children Activities (Kid / Family Friendly)', 'Suites', 'Pool', 'Free parking', 'Kitchenette']",420 Grand Ave E Ontario,Canada,Kimberley British Columbia,"(42.4177726, -82.175479)",60.0,
9068,Bye the Bay Bed and Breakfast,4.5,Excellent,"['Air conditioning', 'Free High Speed Internet (WiFi)', 'Suites', 'Free parking', 'Breakfast included', 'Kitchenette']",18288 Kent Bridge Rd Ontario,Canada,Kimberley British Columbia,"(42.33781051986, -81.8491952895659)",300.0,
9069,Silver Motel,4.5,Excellent,"['Refrigerator in room', 'Minibar', 'Free High Speed Internet (WiFi)', 'Air conditioning']",398 Chatham St S Ontario,Canada,Kimberley British Columbia,"(42.3237801811065, -81.9732345842401)",300.0,
9070,Bound to Please Bed and Breakfast,5.0,Excellent,[''],791 Talbot Rd E Ontario,Canada,Kimberley British Columbia,"(42.086115477193, -82.7081214807018)",300.0,
9071,Super 8 by Wyndham Chatham,3.0,Average,"['Pets Allowed ( Dog / Pet Friendly )', 'Non-smoking hotel', 'Air conditioning', 'Pool', 'Refrigerator in room', 'Outdoor pool', 'Family Rooms', 'Free High Speed Internet (WiFi)', 'Babysitting', 'Non-smoking rooms', 'Smoking rooms available', 'Microwave', 'Free parking', 'Breakfast included']",25 Michener Rd Ontario,Canada,Kimberley British Columbia,"(42.4197734, -82.17461795)",300.0,
9072,Lakeside Village Motel and Campground,5.0,Excellent,[''],2416 Talbot Trail Ontario,Canada,Kimberley British Columbia,"(42.1383664789474, -82.3610142789474)",300.0,
9073,Traveller Inn,2.0,Poor,[''],7715 Queens Line Ontario,Canada,Kimberley British Columbia,"(42.277844, -82.3767935)",300.0,
9074,Chatham Motel,2.0,Poor,[''],658 Grand Ave E Ontario,Canada,Kimberley British Columbia,"(42.4224674, -82.1669753)",50.0,
9075,The Duchess of Wellington,5.0,Excellent,"['Non-smoking hotel', 'Air conditioning', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Free parking']",320 Wellington St W Ontario,Canada,Kimberley British Columbia,"(43.9788038, -80.7392344)",300.0,
9076,Campers Cove Campground,4.0,Very good,"['Pets Allowed ( Dog / Pet Friendly )', 'Children Activities (Kid / Family Friendly)']",21097 Campers Cove Rd Ontario,Canada,Kimberley British Columbia,"(42.1032615, -82.4266332)",300.0,
9077,Erie-O Motel & Marina,4.5,Excellent,"['Pets Allowed ( Dog / Pet Friendly )', 'Bar/Lounge', 'Restaurant', 'Wheelchair Access', 'Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Suites', 'Free parking', 'Kitchenette']",840 Ross Lane Ontario,Canada,Kimberley British Columbia,"(42.2610735819823, -81.9190115982297)",300.0,
9078,Katharine's Bed and Breakfast,5.0,Excellent,[''],8 Carlyle Stree Ontario,Canada,Kimberley British Columbia,"(50.000678, -86.000977)",300.0,
9079,Holiday Harbour Campground,4.0,Very good,[''], ,Canada,Kimberley British Columbia,"(0.0, 0.0)",300.0,
9080,Regent Guest House Ltd,0.0,Bad,[''],204 Maidstone Rd Ontario,Canada,Kimberley British Columbia,"(42.2094717, -82.8874849)",300.0,
9081,Parkside Cabins,3.5,Very good,[''],7 Main Steet Ontario,Canada,Kimberley British Columbia,"(50.000678, -86.000977)",300.0,
9082,Raleigh Street Executive Suites,1.0,Terrible,[''],46-54 Raleigh St Ontario,Canada,Kimberley British Columbia,"(42.4025683782609, -82.1882786521739)",300.0,
